ssn,first_name,last_name,age,state,house
616-03-7468,Eveline,Tuckley,44,Florida,Slytherin
910-94-0959,Gwenneth,Kohn,35,Pennsylvania,Hufflepuff
129-39-8336,Sileas,Emmert,43,Texas,Hufflepuff
533-30-8233,Johna,O'Loghlen,42,New York,Hufflepuff
279-92-9496,Eugen,Limprecht,24,North Carolina,Gryffindor
128-20-7386,Nanci,Renard,48,California,Ravenclaw
842-78-9017,Merill,Norton,52,Texas,Hufflepuff
194-74-8008,Melvyn,Bortoli,50,New York,Gryffindor
284-59-4143,Chucho,Hyrons,60,North Dakota,Ravenclaw
966-96-6469,Anne,Beswell,41,Washington,Ravenclaw
998-44-9309,Tamara,Rymmer,50,New York,Gryffindor
903-84-2659,Gaylene,Manach,47,Ohio,Hufflepuff
503-46-1472,Harli,Claxton,18,California,Slytherin
151-89-0506,Trina,Skoggings,43,Nebraska,Slytherin
938-43-6296,Celina,Lendon,41,Iowa,Gryffindor
682-53-0393,Sabina,Coode,26,Florida,Gryffindor
472-15-3594,Arch,Welton,50,New York,Slytherin
214-08-5837,Fredric,Roycraft,19,Alabama,Slytherin
876-56-3681,Lefty,Powis,39,District of Columbia,Slytherin
124-13-9118,Hartwell,Showell,25,Minnesota,Hufflepuff
626-95-7603,Olympe,Mallabon,20,Alaska,Hufflepuff
562-64-0483,Verna,McCutheon,55,Washington,Gryffindor
328-78-0457,Teodor,Neary,35,Oregon,Slytherin
683-74-5619,Farrel,Bowdery,37,Michigan,Hufflepuff
851-56-4991,Wilmette,Jaze,57,Illinois,Slytherin
834-99-5718,Clarie,Stairmand,35,Iowa,Ravenclaw
947-24-2879,Corette,Varvara,31,Georgia,Gryffindor
335-62-0357,John,Dell Casa,23,Virginia,Hufflepuff
576-93-0780,Far,Kasher,22,Nevada,Ravenclaw
809-71-2696,Roz,Gallemore,57,Ohio,Ravenclaw
796-17-8014,Drucie,Narducci,58,California,Gryffindor
688-05-0076,Eveleen,Coleborn,34,Washington,Ravenclaw
512-09-9801,Gavrielle,Ackhurst,29,Texas,Ravenclaw
831-94-5914,Dasya,Stern,20,Texas,Ravenclaw
708-02-3987,Koo,Chisnall,58,Indiana,Gryffindor
959-45-8785,Yelena,Naris,31,Arizona,Gryffindor
903-05-2988,Rafaela,Balma,53,Iowa,Slytherin
764-61-1091,Garnet,Gouldeby,53,New York,Ravenclaw
783-40-8716,Franklyn,Galle,56,Nevada,Gryffindor
419-47-5020,Kristen,Sausman,40,Texas,Gryffindor
240-74-7755,Bamby,Menpes,27,Illinois,Slytherin
130-97-1049,Renate,Merchant,48,Indiana,Hufflepuff
167-66-7048,Kailey,Todari,18,Michigan,Slytherin
177-48-4242,Odilia,Padilla,31,Louisiana,Slytherin
865-56-6611,Bunny,Haddock,56,Hawaii,Slytherin
303-77-1460,Baldwin,Aldhous,33,Oklahoma,Ravenclaw
549-56-7594,Penelopa,Cuniffe,21,New Mexico,Ravenclaw
259-19-4683,Etheline,Locock,47,Arizona,Slytherin
461-52-0990,Wayne,Malter,48,California,Ravenclaw
345-62-9587,Kara-lynn,Prene,49,New Jersey,Slytherin
466-43-8680,Ailbert,Beton,39,Florida,Gryffindor
792-94-1568,Brannon,Rosas,34,Texas,Ravenclaw
828-16-6371,Lilias,Dax,24,District of Columbia,Hufflepuff
803-33-0676,Ferdinand,Alfonso,43,Texas,Ravenclaw
692-78-9826,Lia,Zamorrano,58,Ohio,Hufflepuff
122-66-0417,Alameda,Gartell,40,California,Slytherin
511-72-6567,Cristionna,Jezzard,52,Texas,Ravenclaw
721-57-6046,Quinlan,Annes,43,Nebraska,Ravenclaw
458-11-2803,Thelma,McCafferty,34,California,Gryffindor
551-17-2170,Cristy,Erskin,51,Indiana,Slytherin
234-72-2945,Hernando,Winslett,26,Kentucky,Slytherin
742-27-0929,Ali,Bolino,42,New York,Slytherin
969-54-3078,Fidel,Dunston,50,Georgia,Gryffindor
100-86-9566,Hector,Mingo,44,District of Columbia,Slytherin
685-83-6598,Nestor,Wilkowski,44,Missouri,Gryffindor
153-27-7394,Ashlie,Veness,48,Texas,Hufflepuff
888-14-4380,Sacha,Linklater,44,District of Columbia,Ravenclaw
638-52-0518,Guglielmo,Lorimer,34,West Virginia,Gryffindor
963-84-6597,Niccolo,Searles,36,Texas,Gryffindor
604-65-5887,Vonni,Placido,27,California,Hufflepuff
754-28-5450,Jacqueline,Calder,28,Pennsylvania,Hufflepuff
962-53-9655,Karon,Aronowicz,40,Washington,Slytherin
430-98-3914,Borden,Garaghan,49,Oklahoma,Slytherin
830-53-7365,Fin,Antognetti,57,Georgia,Hufflepuff
105-64-6048,Marjory,Bartell,21,California,Hufflepuff
802-14-8474,Falito,Gatehouse,40,Colorado,Hufflepuff
638-80-5159,Daphna,McGarvey,30,Kansas,Hufflepuff
123-03-4786,Dame,Gianninotti,58,Arizona,Ravenclaw
620-92-3112,Merlina,Lambert-Ciorwyn,29,California,Ravenclaw
706-99-7827,Nicolai,Hairyes,49,Minnesota,Hufflepuff
374-20-8770,Annadiana,Glaves,37,Georgia,Gryffindor
979-90-9437,Carver,Norsworthy,19,Alabama,Gryffindor
492-94-7534,Selestina,Danielsohn,33,South Carolina,Gryffindor
788-57-9377,Dalston,Kittless,44,New York,Hufflepuff
477-53-9186,Rock,MacCourt,44,Tennessee,Slytherin
364-86-7173,Jennette,Maycey,56,North Carolina,Hufflepuff
224-26-9179,Gian,Evenett,51,Florida,Ravenclaw
587-59-9686,Tally,Povall,28,California,Ravenclaw
454-92-6762,Hymie,Morkham,47,Kentucky,Gryffindor
600-28-4912,Kameko,Acomb,56,California,Hufflepuff
665-57-6788,Elly,Janku,23,Massachusetts,Ravenclaw
608-77-9549,Lezlie,Eckford,29,Kentucky,Gryffindor
751-44-6055,Billye,Merrigan,34,Massachusetts,Slytherin
314-14-9326,Frederique,Cartin,18,Pennsylvania,Hufflepuff
329-88-6839,Roz,Salvin,45,Mississippi,Hufflepuff
135-70-2921,Hayyim,Mc Caughan,32,Texas,Ravenclaw
323-27-7158,Vivie,Aglione,30,Texas,Hufflepuff
260-87-5431,Dolly,Pinnere,50,Indiana,Gryffindor
859-03-6375,Xena,Degg,18,Texas,Hufflepuff
506-16-0678,Vyky,Jacobovitz,39,West Virginia,Slytherin
733-55-4132,Rudolph,Erbain,55,Tennessee,Slytherin
324-98-3642,Maggie,Eltringham,50,Pennsylvania,Gryffindor
847-96-6678,Jasper,Normanville,37,California,Ravenclaw
735-26-6809,Tuckie,Mace,24,California,Hufflepuff
212-08-6852,Noel,Thornborrow,38,Florida,Gryffindor
684-60-9376,Barbara-anne,Dodell,50,Tennessee,Gryffindor
584-66-0046,Jeremie,Simpkiss,51,Colorado,Gryffindor
981-96-5407,Melisse,Badini,55,Virginia,Gryffindor
267-04-5923,Claudianus,Zarfati,42,California,Ravenclaw
846-40-4617,Dominic,Iacovacci,33,Pennsylvania,Hufflepuff
439-78-8854,Gabbie,Teligin,58,North Carolina,Slytherin
874-01-2994,Barney,Nickoles,34,Arizona,Hufflepuff
894-84-9657,Derron,Probey,42,Texas,Ravenclaw
992-99-6770,Barnabe,Muzzi,28,New Mexico,Ravenclaw
187-00-2523,Blondie,Raddon,23,Florida,Gryffindor
641-32-9715,Theadora,Graben,22,New York,Ravenclaw
139-14-3787,Sile,Seniour,40,Georgia,Ravenclaw
450-02-5608,Elli,Gaudon,38,Virginia,Gryffindor
450-68-4663,Lancelot,Camsey,50,Texas,Hufflepuff
487-36-7522,Diannne,Innman,48,Texas,Hufflepuff
744-84-1367,Corbie,Celli,21,Oklahoma,Ravenclaw
876-77-0201,Anjanette,Joney,34,California,Slytherin
705-90-3666,Kerrin,Finnis,51,Iowa,Slytherin
806-00-0513,Frederich,Levings,42,California,Hufflepuff
661-85-0154,Selestina,Emm,24,South Carolina,Gryffindor
840-97-2789,Kort,Dullaghan,48,Texas,Gryffindor
336-74-3940,Konstantin,Radmer,50,California,Gryffindor
918-29-1427,Tomi,Rosen,46,Virginia,Hufflepuff
182-04-2406,Emmet,Ruddle,30,New York,Gryffindor
120-56-1417,Adaline,Crumb,46,New York,Gryffindor
426-60-1718,Daren,Titchmarsh,56,Oklahoma,Slytherin
143-83-2338,Michal,Bowkett,45,California,Ravenclaw
834-66-3517,Marja,Kobiela,22,Michigan,Ravenclaw
611-74-4113,Keefe,Aylesbury,47,North Carolina,Slytherin
909-85-4148,Timofei,Fishley,46,Connecticut,Ravenclaw
692-61-9316,Madelene,Andreev,44,Illinois,Ravenclaw
195-39-4095,Mable,Cicci,25,Virginia,Slytherin
356-15-0005,Bobbye,Angeau,21,North Carolina,Hufflepuff
677-45-4134,Jameson,McRae,50,Washington,Ravenclaw
108-57-3348,Nicola,Gosker,39,Kentucky,Ravenclaw
188-53-6120,Jany,Corneck,34,Kansas,Hufflepuff
155-70-0289,Kassi,Whitcher,58,Washington,Gryffindor
741-37-3063,Staffard,Hagergham,56,Tennessee,Slytherin
225-07-9776,Murry,Ambrosch,47,Delaware,Slytherin
982-25-3619,Kate,Grigolashvill,25,Colorado,Ravenclaw
390-88-9530,Melany,Laxen,31,New York,Gryffindor
183-03-6060,Michele,Barthelme,33,New York,Ravenclaw
514-58-1545,Adaline,Oswal,51,Texas,Slytherin
217-17-3069,Vaughn,Connerry,28,New York,Ravenclaw
588-94-5211,Laura,Abrahamoff,56,Indiana,Hufflepuff
975-58-0676,Hadrian,Darke,36,Alabama,Hufflepuff
642-32-5991,Ashlen,Lowes,35,Michigan,Hufflepuff
499-32-8718,Jesus,Prettejohns,37,California,Slytherin
736-99-2358,Grannie,Hawse,23,Iowa,Ravenclaw
499-11-5478,Linnie,Dondon,53,Florida,Gryffindor
369-40-1951,Leigha,Bruggeman,39,Indiana,Hufflepuff
702-40-8049,Jaime,Willden,24,California,Hufflepuff
158-89-9746,Dick,Hogbourne,49,Ohio,Hufflepuff
390-07-2746,Mace,Corona,47,Illinois,Gryffindor
807-19-1260,Kahlil,Treadaway,57,Florida,Hufflepuff
220-86-1158,Morly,Clucas,21,New York,Hufflepuff
577-66-6805,Quincey,Del Monte,19,District of Columbia,Ravenclaw
768-95-9594,Nathanil,Ruck,49,Kansas,Hufflepuff
678-52-4752,Sigfried,Cordall,56,California,Ravenclaw
459-23-9155,Shay,Rodman,30,Pennsylvania,Gryffindor
203-51-0227,Constantino,Sparry,45,Indiana,Slytherin
415-39-9854,Angil,Tonner,24,District of Columbia,Hufflepuff
748-03-8138,Killie,Banfill,53,New York,Hufflepuff
345-44-1131,Robin,Bru,57,Nevada,Hufflepuff
676-62-5678,Devondra,O' Cloney,36,Florida,Gryffindor
120-95-2704,Pammy,Andersson,21,Georgia,Ravenclaw
650-20-4950,Cully,Shawell,41,Minnesota,Ravenclaw
490-67-5772,Mellisent,Trathan,46,California,Ravenclaw
395-78-1012,Kimberly,Kullmann,52,Missouri,Ravenclaw
862-10-0321,Jaimie,Beteriss,27,Tennessee,Hufflepuff
479-11-1757,Dannie,Lunam,24,California,Hufflepuff
258-18-3142,Sydney,Wolseley,56,Tennessee,Hufflepuff
146-97-7769,Cornall,Folks,50,Florida,Ravenclaw
786-14-0860,Muhammad,Isaaksohn,47,Missouri,Ravenclaw
404-84-8489,Annelise,Villalta,46,District of Columbia,Gryffindor
572-53-7060,Alidia,Corrao,48,Georgia,Hufflepuff
934-66-9475,Francoise,Stowers,47,Iowa,Ravenclaw
771-82-7312,Gerhardt,Goddman,60,Iowa,Slytherin
325-56-6083,Fey,Dilnot,20,Florida,Ravenclaw
991-34-5790,Jasun,Juschka,28,California,Hufflepuff
388-90-5163,Spenser,McGoogan,28,West Virginia,Gryffindor
825-13-5591,Carrie,Harteley,43,Michigan,Slytherin
680-01-2526,Lonnie,Stading,30,New Mexico,Gryffindor
113-83-0525,Nert,Ewbanche,18,Arizona,Hufflepuff
903-81-6545,Hyatt,Tustin,21,West Virginia,Ravenclaw
808-91-7494,Elysee,Fahrenbacher,19,New York,Gryffindor
356-94-2566,Burtie,Plaister,43,Florida,Hufflepuff
786-65-7228,Manda,Jiras,44,Alabama,Ravenclaw
771-10-4458,Fayina,Oldman,47,California,Slytherin
364-71-2492,Gianina,Rummin,58,Wisconsin,Slytherin
741-27-3545,Hermie,Romayn,23,Arkansas,Gryffindor
482-61-2833,Gabi,Fountian,55,Connecticut,Hufflepuff
596-85-5737,Lev,Butting,40,New York,Hufflepuff
289-99-7802,Waylin,Busch,26,Oklahoma,Gryffindor
856-51-6655,Nerty,Brunel,49,Texas,Gryffindor
906-46-0185,Henka,Playle,27,Kentucky,Slytherin
868-76-6926,Baxy,Matteoni,20,Florida,Gryffindor
255-96-7433,Elita,Torbeck,32,North Carolina,Hufflepuff
720-98-4803,Greg,Groven,55,Connecticut,Ravenclaw
607-57-8266,Emalee,Pennycord,46,Tennessee,Gryffindor
210-76-0610,Camille,MacCurley,55,Kansas,Gryffindor
119-10-6988,Aurea,Harbron,19,Texas,Slytherin
582-75-7276,Kylila,Jeffery,33,Wisconsin,Hufflepuff
372-63-8597,Henrietta,Guittet,45,Colorado,Gryffindor
130-22-0411,Myrle,Budding,59,Florida,Ravenclaw
626-45-2861,Vivyan,Candy,54,Virginia,Gryffindor
371-19-3869,Nikaniki,Harlett,48,Florida,Hufflepuff
819-49-7391,Gaspard,Twiggins,46,Kansas,Hufflepuff
281-71-6021,Minda,Linskill,59,Texas,Hufflepuff
705-91-3645,Sanson,Bremond,31,Texas,Slytherin
632-96-5878,Katharina,Bearne,45,Pennsylvania,Hufflepuff
475-07-2484,Ilysa,De Mattei,59,California,Gryffindor
304-14-8983,Tina,Poone,39,Connecticut,Gryffindor
292-06-1530,Maryrose,Caslane,54,North Carolina,Gryffindor
168-74-7726,Gaven,Kittman,21,Massachusetts,Gryffindor
512-69-6919,Benjamin,Blankhorn,31,Georgia,Hufflepuff
627-19-5461,Elberta,Malpass,18,New York,Gryffindor
921-99-2511,Thaddeus,Copping,30,California,Slytherin
393-76-0518,Jojo,Fatkin,26,Texas,Hufflepuff
561-14-9676,Ignace,Laye,44,Pennsylvania,Hufflepuff
373-43-8407,Jenna,Manilo,47,Texas,Gryffindor
898-71-4557,Alfred,Hibling,19,Louisiana,Ravenclaw
180-40-7496,Starr,Barneveld,45,Alabama,Hufflepuff
616-22-2453,Tish,Wetheril,43,California,Ravenclaw
629-65-5121,Tybie,Giles,53,Connecticut,Hufflepuff
676-43-5899,Veronike,Matashkin,51,California,Hufflepuff
417-25-8287,Filia,Carrane,52,Michigan,Gryffindor
197-31-6973,Christen,Pratchett,51,Mississippi,Gryffindor
982-72-1292,Leonanie,Instrell,38,Montana,Slytherin
948-55-8923,Blaire,Kempshall,51,Arizona,Slytherin
119-77-6597,Boony,Jeannet,24,Oklahoma,Hufflepuff
165-52-3082,Maxim,Stilgo,47,West Virginia,Slytherin
225-86-4968,Herta,Brahm,35,Oklahoma,Gryffindor
212-88-6529,Ermentrude,Yellep,27,Louisiana,Hufflepuff
362-44-7823,Rhodie,Finnie,24,District of Columbia,Gryffindor
611-92-7359,Cleon,Clapston,49,Oklahoma,Ravenclaw
455-98-2030,Pansie,Sissot,25,Tennessee,Gryffindor
623-26-7568,Buffy,Tebbitt,31,Oklahoma,Ravenclaw
867-94-7744,Whittaker,Falls,60,California,Slytherin
339-32-5934,Lorens,Gillimgham,28,Missouri,Hufflepuff
440-25-3003,Jedediah,Crowne,49,Alabama,Slytherin
489-85-8393,Cate,Teece,28,Texas,Gryffindor
141-92-2252,Danette,Furzey,46,North Carolina,Gryffindor
507-44-4798,Coletta,McGeraghty,29,South Carolina,Gryffindor
515-02-3159,Carline,Do Rosario,21,Kentucky,Slytherin
882-60-9256,Crystie,Bazylets,58,Hawaii,Slytherin
341-38-0482,Quentin,Pitkins,28,California,Ravenclaw
950-72-5664,Ivette,Dowty,48,Maryland,Hufflepuff
720-13-3290,Minni,Brennenstuhl,34,Illinois,Hufflepuff
542-07-9309,Demetris,Rushmer,54,Louisiana,Slytherin
948-16-0966,Brooks,Likely,25,New York,Slytherin
495-57-6793,Quinn,Filip,60,Colorado,Slytherin
208-71-8373,Fax,Conant,22,Arkansas,Gryffindor
355-93-0647,Roberto,Handforth,37,California,Gryffindor
486-06-7370,Tracy,Dreus,23,Texas,Ravenclaw
402-88-0905,Tami,Mee,21,Oklahoma,Gryffindor
759-92-3021,Jacquette,Kyne,41,Ohio,Hufflepuff
919-34-9384,Bidget,Mackison,25,New York,Hufflepuff
499-43-7917,Fidelity,Kittoe,37,Texas,Gryffindor
337-32-5145,Ignatius,Pitt,21,Texas,Ravenclaw
276-38-4395,Cammie,Hunnisett,41,Maryland,Gryffindor
677-82-3868,Neils,Forcer,28,New York,Ravenclaw
367-24-5178,Lynnett,Ruste,39,California,Hufflepuff
812-21-0048,Virginia,Kovnot,45,California,Hufflepuff
110-49-1496,Timotheus,Brosetti,36,Utah,Hufflepuff
390-87-1484,Patrick,Hurnell,48,Connecticut,Gryffindor
571-50-6179,Foss,Brockelsby,39,South Carolina,Slytherin
704-82-3366,Oates,Penn,45,Michigan,Slytherin
467-83-4846,Perkin,Pea,39,Kansas,Slytherin
368-28-9207,Fransisco,Leese,50,Alabama,Hufflepuff
612-22-7029,Adolph,Dillicate,46,California,Gryffindor
560-29-6963,Lenna,D'eathe,23,New York,Slytherin
469-37-0269,Zandra,Stafford,49,California,Slytherin
236-43-7599,Lem,Bourbon,37,Arkansas,Gryffindor
550-88-5813,Monah,Josowitz,52,Washington,Slytherin
816-80-5032,Aaron,Skone,30,New York,Hufflepuff
889-80-9154,Burlie,Brain,56,Connecticut,Hufflepuff
425-83-4687,Patrice,Baldry,55,Florida,Gryffindor
917-34-1222,Noak,Guerriero,50,Texas,Slytherin
305-04-9668,Albie,Redmond,35,California,Slytherin
712-64-9374,Natalie,Pesticcio,54,Florida,Hufflepuff
976-93-2339,Ardelia,Boggis,18,California,Gryffindor
270-99-9463,Kristan,Tettley,49,Nevada,Hufflepuff
892-03-7393,Ingmar,Bage,32,Texas,Gryffindor
239-72-7328,Elvira,Searight,45,Delaware,Ravenclaw
527-27-2300,Adey,Pointin,50,Texas,Hufflepuff
846-40-1987,Dickie,Bullen,36,Georgia,Ravenclaw
145-60-8980,Stoddard,Shills,27,Virginia,Gryffindor
571-02-3407,Elicia,Sugg,60,Indiana,Gryffindor
444-74-6137,Henry,Hollingsby,44,West Virginia,Ravenclaw
564-42-1746,Pearl,Dyment,38,Nevada,Ravenclaw
640-30-9535,Fredi,Airey,44,California,Gryffindor
248-67-0685,Urban,MacAllester,27,Illinois,Ravenclaw
388-64-9366,Geoff,Maytom,41,Mississippi,Gryffindor
799-93-5634,Rupert,Scatcher,45,Washington,Ravenclaw
264-92-3556,Rachelle,Camoys,57,Texas,Gryffindor
167-28-1712,Wernher,O' Borne,26,Texas,Gryffindor
384-62-3472,Catina,Myrie,53,California,Hufflepuff
919-73-5648,Arv,Pettett,41,New York,Hufflepuff
548-08-3394,Amelia,Cansdall,60,Georgia,Slytherin
125-84-9936,Orv,Kesey,55,Virginia,Hufflepuff
730-90-4892,Ev,Whitley,40,Kansas,Slytherin
189-01-4886,Gerri,Boyett,45,Connecticut,Ravenclaw
576-63-7734,Kirby,Worham,20,Texas,Gryffindor
862-18-2263,Eloisa,Osgodby,48,South Carolina,Ravenclaw
575-81-9309,Irena,Skilton,32,Georgia,Slytherin
778-73-8698,Celesta,Gant,29,Texas,Slytherin
346-70-5919,Krystyna,Naire,27,Texas,Slytherin
191-88-3348,Cynthie,Levens,32,Texas,Hufflepuff
420-27-3930,Katha,Bredgeland,31,California,Ravenclaw
946-60-9795,Ashia,Paule,52,Rhode Island,Gryffindor
609-11-7436,Coral,Kira,26,Louisiana,Ravenclaw
132-58-6914,Malina,Swithenby,43,Ohio,Ravenclaw
685-83-8752,Nikolos,Pach,51,District of Columbia,Ravenclaw
564-86-1850,Binni,Kean,21,Kansas,Ravenclaw
152-13-7283,Merrill,Wolledge,18,Texas,Slytherin
723-18-2517,Frannie,Hartless,24,California,Ravenclaw
222-45-2849,Noami,Folds,40,Indiana,Ravenclaw
332-03-1212,Eolande,Clementel,24,California,Ravenclaw
503-70-9417,Coralyn,Kendall,36,Idaho,Gryffindor
113-07-3208,Berkly,Tettley,58,District of Columbia,Ravenclaw
646-80-4219,Alaine,Phizackerly,48,Georgia,Slytherin
143-33-4968,Freddy,Necolds,43,Georgia,Hufflepuff
552-15-7921,Silvano,Chrystie,18,Florida,Ravenclaw
826-39-2622,Thea,Janik,56,Texas,Hufflepuff
408-44-4686,Bendicty,Kuhwald,48,Oklahoma,Slytherin
992-11-2805,Wandie,Maguire,43,Texas,Slytherin
373-30-0911,Conny,Cabell,32,California,Gryffindor
944-93-3482,Roarke,Aldham,41,Texas,Gryffindor
820-10-5509,Arther,Palphramand,28,Massachusetts,Hufflepuff
867-54-4241,Shellysheldon,Merrifield,31,Texas,Hufflepuff
600-97-6571,Alastair,Ashall,25,West Virginia,Slytherin
931-96-3565,Rosalyn,Anderton,59,Ohio,Slytherin
378-62-4796,Lissy,Signori,59,District of Columbia,Hufflepuff
325-52-9360,Bevvy,Letty,55,California,Ravenclaw
977-03-9622,Clovis,Janaszkiewicz,26,Tennessee,Hufflepuff
755-52-7207,Antonino,Palfrey,30,Florida,Ravenclaw
508-68-1079,Judy,Maty,20,Illinois,Ravenclaw
366-07-1833,Cassy,Nemchinov,26,Iowa,Slytherin
301-59-8842,Gary,Dimitriou,51,California,Ravenclaw
640-23-7345,Erna,Maxwale,44,Massachusetts,Slytherin
866-56-8710,Nye,Silvers,30,Louisiana,Ravenclaw
831-53-4105,Magdalen,Thompkins,59,Alabama,Ravenclaw
801-83-2438,Elisha,Tooke,36,Florida,Gryffindor
356-89-7090,Boony,De Andreis,58,Louisiana,Gryffindor
727-65-4632,Merrile,Dessant,37,New Jersey,Hufflepuff
674-40-0195,Jamie,Zuann,30,Georgia,Ravenclaw
622-50-6872,Bibbye,Giberd,34,California,Slytherin
128-74-3022,Mahmoud,Osband,23,Michigan,Ravenclaw
480-04-6522,Corrianne,MacLure,28,California,Hufflepuff
939-83-8518,Delainey,Baldery,60,Florida,Slytherin
943-48-3340,Edik,Lanaway,19,Alabama,Hufflepuff
526-62-5132,Amaleta,O'Donnell,46,Missouri,Gryffindor
632-85-1689,Babara,Sapir,59,District of Columbia,Hufflepuff
198-76-4344,Mireielle,Augustus,24,Georgia,Slytherin
969-92-6437,Zea,Lammerts,45,Texas,Ravenclaw
786-89-5715,Dermot,Palliser,31,District of Columbia,Slytherin
540-92-5899,Parker,Gierke,47,North Carolina,Slytherin
187-19-0929,Eloisa,Garritley,37,Michigan,Ravenclaw
783-49-1656,Antonella,Cawston,60,Nevada,Slytherin
334-15-4246,Averill,Shorthouse,57,California,Gryffindor
335-64-8062,Dene,Dalinder,27,Ohio,Hufflepuff
835-66-8816,Nealy,Knellen,46,Colorado,Gryffindor
716-68-7251,Ethe,Laffin,18,Florida,Slytherin
508-29-5408,Ikey,Matuszynski,53,District of Columbia,Hufflepuff
556-62-3367,Trudie,Riolfi,24,Kansas,Gryffindor
196-91-9988,Pattie,Daglish,29,Washington,Slytherin
237-67-8603,Rhianna,Points,18,Louisiana,Hufflepuff
349-51-0904,Betta,Wardle,40,Florida,Ravenclaw
430-98-0068,Tyrus,Mapes,32,Colorado,Ravenclaw
529-34-1269,Gasper,Sibley,59,Florida,Ravenclaw
710-13-5882,Hewe,Buckham,40,Arizona,Hufflepuff
188-51-9653,Germain,Ugolotti,19,Virginia,Hufflepuff
402-51-3573,Katharyn,Parlatt,30,Indiana,Slytherin
127-14-6239,Lisle,Vaszoly,43,New York,Hufflepuff
252-05-9990,Philomena,Begin,48,West Virginia,Ravenclaw
532-11-0922,Pippo,Fothergill,39,Tennessee,Slytherin
342-48-4596,Nanon,Hornig,48,Florida,Ravenclaw
877-16-0912,Rem,Mallinar,56,Illinois,Gryffindor
316-81-7654,Penny,Ailmer,43,Pennsylvania,Hufflepuff
725-54-1978,Randy,Yo,51,California,Slytherin
173-31-3198,Selena,Renhard,37,Georgia,Slytherin
673-44-1559,Merrill,Matthias,42,Florida,Gryffindor
661-87-1188,Mile,Yakubowicz,49,Virginia,Hufflepuff
535-02-6712,Alexine,Tooke,49,Massachusetts,Hufflepuff
279-88-3681,Branden,Adkin,24,Massachusetts,Hufflepuff
295-49-8555,Adria,Seiter,41,District of Columbia,Ravenclaw
281-77-8308,Carlie,Pady,25,Florida,Gryffindor
357-68-8151,Maddy,Chesson,31,New Jersey,Gryffindor
